0–4,Females,392997,4.32,8.51
15–24,Females,594644,6.54,12.88
25–34,Females,694270,7.64,15.03
35–44,Females,558932,6.15,12.10
45–54,Females,460267,5.06,9.97
5–14,Females,377933,4.16,8.18
55–64,Females,432053,4.75,9.36
65–74,Females,417981,4.60,9.05
75–84,Females,416737,4.58,9.02
85–89,Females,155460,1.71,3.37
90–94,Females,85273,0.94,1.85
95+,Females,31355,0.34,0.68
0–4,Males,500071,5.50,11.18
15–24,Males,484524,5.33,10.83
25–34,Males,514763,5.66,11.51
35–44,Males,499091,5.49,11.16
45–54,Males,466271,5.13,10.42
5–14,Males,467154,5.14,10.44
55–64,Males,466348,5.13,10.43
65–74,Males,445267,4.90,9.95
75–84,Males,415927,4.58,9.30
85–89,Males,133372,1.47,2.98
90–94,Males,62729,0.69,1.40
95+,Males,17735,0.20,0.40
